collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;cou_852;ZHOUNIYI Guizhou (周尼驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_162386;;104.986679;27.194785;Y;MDYZK;
courier;cou_853;HEIZHANGYI Guizhou (赫章驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_162326;;104.722077;27.127472;B;PA_1903;
courier;cou_854;WADIANYI Guizhou (瓦甸驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_162330;;104.506228;27.039042;L;MDYZK;
courier;cou_855;ZAICHENGYI Guizhou (在城驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_482;;104.289833;26.860271;L;MDYZK;
courier;cou_856;WUSAYI Guizhou (乌撒驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_162307;;104.013702;26.747974;L;MDYZK;
courier;cou_857;PUDEGUIYI Guizhou (普德归驿);;;103.883331;26.533333;L;MDYZK;
courier;cou_858;NANJINYI Sichuan (南津驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_21393;;104.692558;30.035488;Y;MDYZK;
courier;cou_859;BAISHAZHENYI Chongqing (白沙镇驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_165430;;106.131142;29.058123;Y;MDYZK;
courier;cou_860;NIUNAOYI Chongqing (牛脑驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_165427;;105.895943;28.920595;Y;MDYZK;
courier;cou_861;LISHIYI Chongqing (立市驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_165425;;105.949989;29.048960;Y;MDYZK;
courier;cou_862;JIANGJINYI Chongqing (江津驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1274;;106.252960;29.281507;Y;MDYZK;
courier;cou_863;KUANGLUYI Jiangxi (匡庐驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_785;;116.041122;29.453486;Y;MDYZK;
courier;cou_864;WUCHENGYI Jiangxi (吴城驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_19164;;115.994408;29.176830;Y;MDYZK;
courier;cou_865;QIAOSHEYI Jiangxi (樵舍驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_19231;;115.978859;28.856440;Y;MDYZK;
courier;cou_866;SHICHAYI Jiangxi (市汊驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_19222;;115.836689;28.411289;Y;MDYZK;
courier;cou_867;JIANJIANGYI Jiangxi (剑江驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_791;;115.785782;28.197754;Y;MDYZK;
courier;cou_868;FENYI Jiangxi (分宜);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_815;;114.675720;27.816052;Y;MDYZK;
courier;cou_869;ANRENYI Jiangxi (安仁驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_141139;;114.818693;27.746656;Y;MDYZK;
courier;cou_870;LUOXIYI Jiangxi (罗溪驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_818;;114.931140;27.804080;Y;MDYZK;
courier;cou_871;YUANZHOUFU Jiangxi (袁州府);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_816;;114.375885;27.794266;N;MDYZK;
