"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"84b5f2af-3da9-4bc7-85b2-9b4eae77f206","Rome","char-offset:34923","PLACE","http://pleiades.stoa.org/places/423025","Roma|Roma, Roma|Rome","41.89262","12.4843457","settlement,urban","UNVERIFIED","",""
"130a078d-37e1-41ea-a582-0ca67c269231","Civita Indivina","char-offset:35080","PLACE","","","","","","UNVERIFIED","town",""
"3acce5b0-49a3-4077-999b-3b26f52b0fea","Lanuvium","char-offset:35221","PLACE","http://pleiades.stoa.org/places/422956","Lanuvium|Lanuvium, Lanuvio|Lanuvio","41.67439","12.6974","settlement","UNVERIFIED","",""
"fdd668f4-990f-451e-8ac2-440e4aafae79","Marinum","char-offset:35256","PLACE","http://pleiades.stoa.org/places/338247","Ad Oculum Marinum","","","unlocated","UNVERIFIED","",""
"7d6e429f-46e7-40dd-a3b7-982129335e75","Velitrae","char-offset:35267","PLACE","http://pleiades.stoa.org/places/423117","Velitrae|Velitrae, Velletri","41.687426","12.77721","settlement","VERIFIED","w",""
"4ef7a8f1-bff7-4c0e-8d83-992352b85195","Tiber","char-offset:35561","PLACE","http://pleiades.stoa.org/places/423080","Tiberis (river)","42.072946","12.547643","river","UNVERIFIED","",""
"53195b5a-e1a4-4398-ac64-d8ddbf2bcf77","Velitrae","char-offset:35660","PLACE","http://pleiades.stoa.org/places/423117","Velitrae|Velitrae, Velletri","41.687426","12.77721","settlement","VERIFIED","",""
"2b9dcf3e-ea04-41fa-9499-f34b85c40fb8","Cora","char-offset:35927","PLACE","http://pleiades.stoa.org/places/422909","Cora|Cora, Cori","41.64255","12.915671","settlement,temple-2","VERIFIED","w",""
"06ca3c6d-1b90-4a26-8410-fa4bd3721385","Tibur","char-offset:35998","PLACE","http://pleiades.stoa.org/places/423081","Tibur|Tibur, Tivoli","41.96566","12.7971","amphitheatre,temple,settlement,temple-2","UNVERIFIED","",""
"cc8042e7-e8f4-45f9-8cf9-8aa2465cfe14","Mons Catillus","char-offset:36048","PLACE","","","","","","UNVERIFIED","mountain",""
"d0ae08b9-beef-4785-a340-626565cc785c","Tibur","char-offset:36135","PLACE","http://pleiades.stoa.org/places/423081","Tibur|Tibur, Tivoli","41.96566","12.7971","amphitheatre,temple,settlement,temple-2","UNVERIFIED","",""
"ee2fefff-b4dc-49cb-ade5-f31efc9e4b0f","Velitrae","char-offset:36284","PLACE","http://pleiades.stoa.org/places/423117","Velitrae|Velitrae, Velletri","41.687426","12.77721","settlement","UNVERIFIED","",""
"57fe7d79-5ba5-4c24-a31a-6443cd365a6c","Sarmineta","char-offset:36329","PLACE","http://dare.ht.lu.se/places/33632","Casali|Casali, Sermoneta","41.54102","12.99502","settlement","VERIFIED","",""
"f24245c9-c274-4052-809d-365dc541918b","Aquae Foetidae","char-offset:36382","PLACE","","","","","","UNVERIFIED","","where the marshland begins"
"747d414f-3777-4f87-9e11-e13018bbcea7","Terracina","char-offset:36446","PLACE","http://sws.geonames.org/3165762","Terracina","41.29174","13.24359","","VERIFIED","",""
"f30ff034-ea54-4e59-84fb-f0458ec04654","Anxur","char-offset:36638","PLACE","http://pleiades.stoa.org/places/433143","Tarracina(e)/Anxur|Tarracinae/Tarracina/Anxur, Terracina","41.2912168","13.2488651","sanctuary,settlement,temple-2","VERIFIED","",""
"125cc4bf-8f4a-4fcd-9f4d-07df5db2a95c","Setia","char-offset:36838","PLACE","http://dare.ht.lu.se/places/22657","Untitled|Setia|Setia, Sezze|Villa Romana, Sezze","41.49838","13.05924","villa,settlement","VERIFIED","w",""
"db1e1b55-54e7-4067-9623-081770566b80","Setia","char-offset:36993","PLACE","http://dare.ht.lu.se/places/22657","Untitled|Setia|Setia, Sezze|Villa Romana, Sezze","41.49838","13.05924","villa,settlement","VERIFIED","",""
"56287d92-f64d-481b-8860-14e16eeb4451","Privernum","char-offset:37239","PLACE","http://pleiades.stoa.org/places/433052","Privernum|Privernum, Madonna di Mezzagosto, Priverno","41.49056","13.18497","settlement","VERIFIED","w",""
"389882ee-2139-4432-b8fc-a505fc9754c4","Setia","char-offset:37278","PLACE","http://dare.ht.lu.se/places/22657","Untitled|Setia|Setia, Sezze|Villa Romana, Sezze","41.49838","13.05924","villa,settlement","VERIFIED","",""
"e34b29b1-ed24-4fa4-b78c-0be683d1635c","Privernum","char-offset:37614","PLACE","http://pleiades.stoa.org/places/433052","Privernum|Privernum, Madonna di Mezzagosto, Priverno","41.49056","13.18497","settlement","UNVERIFIED","",""
"8d6d0e46-c354-4f5e-8b4b-20f4e955570b","Amasenus","char-offset:37986","PLACE","http://pleiades.stoa.org/places/432671","Amasenus (river)","41.25","13.25","river","UNVERIFIED","",""
"0715b204-b15f-4322-b9ed-4a86573c5513","Privernum","char-offset:38058","PLACE","http://pleiades.stoa.org/places/433052","Privernum|Privernum, Madonna di Mezzagosto, Priverno","41.49056","13.18497","settlement","UNVERIFIED","",""
"5f4a758f-1603-49e8-b5b2-81c02e6f1220","Maientia","char-offset:38087","PLACE","","","","","","UNVERIFIED","",""
"601e0053-188f-4d3d-9b3a-9fb4c3c25b1f","Somninum","char-offset:38181","PLACE","","","","","","UNVERIFIED","w",""
"05a9bdb9-9eac-446a-8181-359c7e5fe104","Somninum","char-offset:38226","PLACE","","","","","","UNVERIFIED","",""
"64757034-278b-4063-a659-cbe36534927d","Terracina","char-offset:38267","PLACE","http://sws.geonames.org/3165762","Terracina","41.29174","13.24359","","VERIFIED","",""
"431c4618-1bfc-41d4-a410-fb3f68d091db","Via Appia","char-offset:38408","PLACE","http://pleiades.stoa.org/places/356966898","Via Appia","41.32701816113951","14.22498490948713","road","VERIFIED","w",""
"f14f2fd4-953b-4985-a128-b68d56617f59","Alba","char-offset:38454","","","","","","","","w","on Via Appia, 16 miles from Rome"
"8b99b585-6150-409a-9ace-2cdef4193b56","Rome","char-offset:38475","PLACE","http://pleiades.stoa.org/places/423025","Roma|Roma, Roma|Rome","41.89262","12.4843457","settlement,urban","UNVERIFIED","",""
"75b633e4-b846-4cb7-a16b-06136d2e6b5d","Alba","char-offset:38687","","","","","","","","bad match",""
"cee89b05-e97d-4691-be6f-b6184cd9ce41","Alba","char-offset:38869","","","","","","","","","bad match"
"62a92ffe-ed8c-4365-84e6-4c62548136ed","Rome","char-offset:38935","PLACE","http://pleiades.stoa.org/places/423025","Roma|Roma, Roma|Rome","41.89262","12.4843457","settlement,urban","UNVERIFIED","",""
"f6bc9a89-2dac-4e15-b722-4b2087788947","Alba","char-offset:39039","","","","","","","","","bad match"
"97001c7c-9bd0-476e-bb9a-2c8014776014","Rome","char-offset:39113","PLACE","http://pleiades.stoa.org/places/423025","Roma|Roma, Roma|Rome","41.89262","12.4843457","settlement,urban","UNVERIFIED","",""
"915ddb37-6614-4d2f-9d14-ac0fbebc98d7","Sabellum","char-offset:39327","PLACE","","","","","","UNVERIFIED","",""
"a1698ef2-4613-4b8e-bb0d-b224fbec2cfd","Aquileia","char-offset:39462","PLACE","http://pleiades.stoa.org/places/187290","Aquileia|Aquileia, Aquileia|Aquileia","45.769631","13.370946","church,settlement","UNVERIFIED","",""
"7c284e61-a251-43ca-be0a-51a0b6fbea9a","Italy","char-offset:39794","PLACE","http://sws.geonames.org/3175395","Italy","42.78740074008558","12.081074295699182","","UNVERIFIED","",""
"c1791458-2fcb-42fd-930c-b0e9e5aeacae","Via Appia","char-offset:39904","PLACE","http://pleiades.stoa.org/places/356966898","Via Appia","41.32701816113951","14.22498490948713","road","UNVERIFIED","",""
"5f42dc7f-cf04-43cd-8bdb-21afac91dee1","Aricia","char-offset:39944","PLACE","http://pleiades.stoa.org/places/422844","Aricia|Aricia, Ariccia","41.7211083","12.6726413","settlement","VERIFIED","w",""
