id;sequence;latin;stewart;paris;verona;al;variants;modern_19c;distance;unit;notes;uri;names_pl
79;79;ponte aureoli;Pons Aureolus;;;;;Pontirilo;10;mile;;http://pleiades.stoa.org/places/383747;Pons Aureoli|Pons Aureoli, Canonica d'Adda
142;142;altina;Altima;;;;;;11;mile;;http://pleiades.stoa.org/places/206913;Altina|Altina, Surčin
268;268;mansista;Mansista;;;;Mopsuestia;Missis;18;mile;;http://pleiades.stoa.org/places/658538;Mopsou(h)estia/Seleukeia pros to Pyramo|Mopsouhestia/Mopsouestia/Seleukeia pros to Pyramo, Yakapınar
80;80;bergamo;Bergamum;Vergamo;;;Bergomum;Bergamo;13;mile;;http://pleiades.stoa.org/places/383589;Bergomum|Bergomum, Bergamo|Bergamo
143;143;singiduno;Singidunum;;;;;Belgrad;8;mile;;http://pleiades.stoa.org/places/207443;Singidunum|Singidunum, Beograd
210;210;nassete;Narses;;Narsite;;;;7;mile;;http://pleiades.stoa.org/places/521092;‘Nassete’|‘Nassete’, near Maltepe
269;269;tardequeia;Tardequeia;;;;;Kúrt Kúlak;15;mile;;http://pleiades.stoa.org/places/658610;Tardequeia|Tardequeia, Kurtkulağı?
81;81;tellegate;Tellegate;;Tallegate;;;Telgate;12;mile;;http://pleiades.stoa.org/places/383796;Tellegate|Tellegate, Telgate
2;2;stomatas;Stomatæ;;;;;Castres;7;league;;http://pleiades.stoa.org/places/138599;Stomatas|Stomatas, La Brède
270;270;catauolo;Catavolum;;;;Castabala;;16;mile;;http://pleiades.stoa.org/places/658506;Katabolos/Moutloubake|Katabolos/Moutloubake, Muttalip Höyüğü
82;82;tetellus;Tetellus;;;;;;10;mile;;http://pleiades.stoa.org/places/383797;Tetellus|Tetellus, Ospitaletto
211;211;pandicia;Pandicia;;;;;Pandik;7;mile;;http://pleiades.stoa.org/places/521106;Panteichion|Panteichion, Pendik
3;3;sirione;Senone;;;;Sirio;Pont de Ciron;9;league;;http://pleiades.stoa.org/places/138593;Sirio|Sirio, Cérons|Cérons
271;271;baiae;Baie;;;;Baiæ;Piyas;17;mile;;http://pleiades.stoa.org/places/658394;Baiae
83;83;brixa;Brixa;;;;Brixia;Brescia;10;mile;;http://pleiades.stoa.org/places/383603;Brixia|Brixia, Brescia|Brescia
212;212;pontamus;Pontamus;;;;;;13;mile;;http://pleiades.stoa.org/places/511371;Potamoi|Potamoi, E Pendik
272;272;alexandria scabiosa;Alexandria Scabiosa;;;;;Iskanderún, Alexandretta;16;mile;;http://pleiades.stoa.org/places/658371;Alexandria ad Issum|Alexandria ad Issum, İskenderun
84;84;ad flexum;Flexus;;;;;Ponte S. Marco;11;mile;;http://pleiades.stoa.org/places/383546;Ad Flexum/Sermione Mansio|Ad Flexum/Sermione Mansio, Colombare, Sirmione
5;5;tres arbores;Three Trees;;;;Tres Arbes;;5;league;;http://pleiades.stoa.org/places/138626;Tres Arbores|Tres Arbores, Les Trois Chênes
213;213;libissa;Liyssa;;Libosa;;;;9;mile;;http://pleiades.stoa.org/places/511305;Libyssa|Libyssa, Libyssa
309;309;isdradela;Stradela;;Istradela;;;;10;mile;;http://pleiades.stoa.org/places/678197;Iezreel/Isdradela|Iezreel/Isdradela, Tel Yizre'el/Zir'in
85;85;beneuentum;Beneventum;;Bene Aventum;;;;10;mile;;http://pleiades.stoa.org/places/383588;Beneventum|Beneventum, Cavalcaselle, Castelnuovo del Garda
273;273;pictanus;Pictanus;;Platanus;;;Beilan;9;mile;;http://pleiades.stoa.org/places/658573;Platanoi/‘Pictanus’|Platanoi/‘Pictanus’, Belen
6;6;oscineio;Oscineium;;;;;Houeilles?;8;league;;http://pleiades.stoa.org/places/138504;*Oscincium|*Oscincium, Houeillès
147;147;aureo monte;Aureus Mons;;;;;;6;mile;;http://pleiades.stoa.org/places/206938;*Aureus Mons|*Aureus Mons, Seone
87;87;cadiano;Cadianum;;;;;Caldiero;10;mile;;http://pleiades.stoa.org/places/393396;Cadianum|Cadianum, Caldiero
7;7;scittio;Scotium;Scitio;;;Sotium;Sos;8;league;;http://pleiades.stoa.org/places/246662;Sotium/Scittio|Sotium/Scittio, Sos
274;274;pagrios;Pagrius;Pagrios;;;Pagræ;Begras;8;mile;;http://pleiades.stoa.org/places/658564;Pagrae|Pagrae, Bağras
88;88;aureos;Aurei;Auræus;;;;;10;mile;;http://pleiades.stoa.org/places/393387;Auraei|Auraei, Montebello Vicentino
214;214;brunga;Brunga;Brunca;;;;;12;mile;;http://pleiades.stoa.org/places/511193;‘Brunca’|‘Brunca’, Hereke/Yarımca?
8;8;elusa;Elusa;;Tolosa;;;Eauze;8;league;;http://pleiades.stoa.org/places/246380;Elusa|Elusa, Eauze|Eauze
275;275;antiochia;Antiochia;;Anchiotia;;;Antioch, Antakia;16;mile;;http://pleiades.stoa.org/places/658381;Antiochia/Theoupolis|Antiochia/Theoupolis, Antakya
149;149;margo;Margus;;;;;;9;mile;;http://pleiades.stoa.org/places/207267;Margum|Margum, Orašje, Dubravica
215;215;nicomedia;Nicomedia;;;;;Ismid;8;mile;;http://pleiades.stoa.org/places/511337;Nicomedia|Nicomedia, İzmit
310;310;scithopoli;Scythopolis;;;;Bethshean;Beisân;12;mile;;http://pleiades.stoa.org/places/678378;Scythopolis/Nysa|Scythopolis/Nysa, Beit She'an
